class,mult,type,subtype,density,ilp2,lp2,lp1
C,3,4,3,0.9,484,665.2325996314888,657.0833333333334
C,3,7,7,0.8,2267,3119.8648451092313,3119.4094488188975
C,3,7,1,0.6,3086,3119.9060212646746,3119.545454545455
C,3,8,2,0.6,3097,3119.716766045738,3119.464285714286
C,3,6,10,0.4,3100,3119.635253833112,3118.167938931297
C,3,4,2,0.4,599,669.8843122767327,661.9565217391305
C,3,8,10,0.8,2567,3119.9120724082445,3119.702380952381
C,3,2,2,0.2,609,640.1807626508755,625.9999999999999
C,3,4,10,0.1,660,668.0498627629466,662.8260869565216
C,3,1,5,0.9,334,626.1745767960617,601.547619047619
C,3,7,4,0.7,2830,3119.6930926579107,3119.039215686275
C,3,2,8,0.6,530,642.6044054262392,624.1935483870968
C,3,8,1,0.8,2664,3120,3119.820717131474
C,3,5,3,0.2,3110,3117.825464016708,3116.3553113553116
C,3,4,9,0.9,490,671.7491906430371,664.9999999999999
C,3,1,1,0.4,559,611.5705237027022,594.7435897435896
C,3,6,10,0.3,3110,3119.6385920551647,3118.1679389312976
C,3,1,2,0.5,534,619.6643669218805,597.4418604651162
C,3,8,5,0.6,3098,3119.795381478598,3119.407114624506
C,3,1,2,0.4,550,618.9830096033313,597.4418604651162
C,3,5,8,0.3,3099,3116.003479368864,3113.2342657342656
C,3,2,3,0.8,507,652.5240210571745,628.59375
C,3,3,10,0.9,456,656.4911258907249,644.6153846153846
C,3,2,6,0.3,590,640.5254673889107,625
C,3,1,6,0.1,600,623.82229466297,607.8048780487806
C,3,4,3,0.2,640,665.2550187731953,657.0833333333333
C,3,1,8,0.9,284,604.5634428357087,586.8181818181818
C,3,2,4,0.8,495,644.0929795838215,626.71875
C,3,4,8,0.7,540,671.7457109421996,665.4347826086956
C,3,5,4,0.2,3110,3117.0724494202386,3115.2527075812277
C,3,5,6,0.4,3086,3116.1269587777724,3112.712765957446
C,3,6,2,0.5,3090,3119.2144736444016,3117.7671755725187
C,3,2,5,0.3,587,650.1633441032158,626.3636363636363
C,3,8,3,0.2,3110,3119.754534576958,3119.347826086956
C,3,2,9,0.8,497,629.5794307049085,610.7142857142857
C,3,7,7,0.5,3100,3119.8649168171337,3119.4094488188975
C,3,1,7,0.5,538,620.9244404002272,599.5348837209303
C,3,2,10,0.6,537,646.2979319198661,630.1612903225805
C,3,7,6,0.7,3047,3119.540669018416,3119.0784313725494
C,3,6,1,0.6,2757,3119.041384227156,3117.843511450382
C,3,3,4,0.5,560,659.888836335032,647.2222222222222
C,3,4,4,0.2,640,667.9177184368974,659.1304347826086
C,3,8,7,0.3,3110,3119.9495021000193,3119.68253968254
C,3,3,4,0.7,530,659.8448912795819,647.2222222222222
C,3,7,3,0.2,3110,3119.4789176331915,3118.76953125
C,3,2,5,0.1,630,651.4107363950598,637.8787878787879
C,3,5,8,0.8,1454,3115.9368642933437,3113.234265734265
C,3,8,5,0.5,3110,3119.794148040662,3119.407114624506
C,3,2,5,0.8,480,650.3029847153974,626.3636363636363
C,3,6,4,0.5,3082,3118.9252995109373,3117.3773584905657
C,3,6,4,0.7,2318,3118.9148068005716,3117.377358490566
C,3,3,6,0.7,530,657.893717375854,643.6538461538462
C,3,8,1,0.5,3110,3120,3119.8207171314743
C,3,6,5,0.1,3110,3119.085417159514,3118.2758620689656
C,3,2,2,0.3,590,640.1255121431407,626
C,3,6,7,0.4,3100,3118.6617126367987,3117.3574144486697
C,3,2,6,0.2,600,641.2115457592573,625.3125
C,3,6,4,0.4,3107,3118.913510092901,3117.3773584905657
C,3,2,4,0.6,539,643.9475312767916,626.71875
C,3,6,9,0.5,3090,3118.728187002784,3116.85393258427
C,3,6,1,0.9,1488,3119.0352247364913,3117.843511450382
C,3,4,9,0.3,630,671.7703641829728,665.0000000000001
C,3,8,2,0.3,3110,3119.7159047586993,3119.464285714286
C,3,8,3,0.9,2163,3119.75605910767,3119.3280632411065
C,3,6,9,0.2,3110,3118.7380761649742,3116.866118175019
C,3,7,4,0.8,2434,3119.692299186442,3119.0392156862745
C,3,6,1,0.1,3110,3119.033809442894,3118.565891472868
C,3,6,7,0.9,1475,3118.6502352290804,3117.3574144486697
C,3,3,1,0.7,530,656.7313231155332,643.8461538461539
C,3,5,1,0.7,2226,3115.8580339374403,3113.356890459364
C,3,3,8,0.6,540,660.2717509139009,648.4000000000002
