instance;weight;size;time
BPPC_8_0_6.txt_0.4.bz2.dimacs.c;6447;15;52890
BPPC_4_0_4.txt_0.7.bz2.dimacs.c;850;9;713
BPPC_7_0_5.txt_0.4.bz2.dimacs.c;5608;14;340
BPPC_4_0_9.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_8_0_9.txt_0.7.bz2.dimacs.c;3301;8;34
BPPC_5_0_9.txt_0.3.bz2.dimacs.c;4280;12;0
BPPC_3_0_1.txt_0.8.bz2.dimacs.c;562;6;6
BPPC_8_0_8.txt_0.6.bz2.dimacs.c;4329;10;277
BPPC_8_0_10.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_5_0_7.txt_0.5.bz2.dimacs.c;2839;8;0
BPPC_3_0_7.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_3_0_9.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_7_0_3.txt_0.5.bz2.dimacs.c;4325;11;54
BPPC_5_0_10.txt_0.6.bz2.dimacs.c;2221;6;0
BPPC_2_0_2.txt_0.3.bz2.dimacs.c;1489;16;5100
BPPC_8_0_1.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_5_0_3.txt_0.6.bz2.dimacs.c;2428;7;0
BPPC_4_0_3.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_6_0_10.txt_0.2.bz2.dimacs.c;7544;20;99
BPPC_2_0_8.txt_0.5.bz2.dimacs.c;1000;10;46
BPPC_3_0_9.txt_0.4.bz2.dimacs.c;1439;15;48687
BPPC_5_0_6.txt_0.2.bz2.dimacs.c;5498;15;0
BPPC_1_0_10.txt_0.7.bz2.dimacs.c;534;6;0
BPPC_7_0_7.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_6_0_1.txt_0.8.bz2.dimacs.c;1869;4;0
BPPC_2_0_5.txt_0.3.bz2.dimacs.c;1515;19;4326
BPPC_3_0_7.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_4_0_10.txt_0.6.bz2.dimacs.c;1015;11;11588
BPPC_5_0_7.txt_0.9.bz2.dimacs.c;1249;3;0
BPPC_4_0_3.txt_0.7.bz2.dimacs.c;826;9;739
BPPC_4_0_1.txt_0.5.bz2.dimacs.c;1278;14;280043
BPPC_3_0_9.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_6_0_10.txt_0.1.bz2.dimacs.c;11992;32;653
BPPC_4_0_8.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_5_0_10.txt_0.2.bz2.dimacs.c;5553;15;0
BPPC_4_0_2.txt_0.8.bz2.dimacs.c;670;7;63
BPPC_7_0_7.txt_0.2.bz2.dimacs.c;9805;26;153775
BPPC_4_0_5.txt_0.7.bz2.dimacs.c;851;9;752
BPPC_8_0_8.txt_0.9.bz2.dimacs.c;2167;5;1
BPPC_7_0_8.txt_0.7.bz2.dimacs.c;3188;8;2
BPPC_5_0_5.txt_0.9.bz2.dimacs.c;1298;3;0
BPPC_8_0_5.txt_0.8.bz2.dimacs.c;2602;6;6
